autor_ano;pais;regiao;sitio;status_mortuario;contx_violencia;lat;long;elevação_m;Fact_elev;cultura;cronologia;data_absBP_ inicial;data_absBP_final;sexo;fx_idade;n_id;n_id_afetados;n_id_naoafetados;n_fr_afetados;n_id_antimortem;n_les_antimortem;n_id_perimortem;n_les_perimortem;anti_peri;n_tr_anterior;n_antimortem_anterior;n_perimortem_anterior;nasal;maxilar;boca_mandibula;frontal;sutura_frontozigomatica;n_tr_posterior;n_antimortem_posterior;n_perimortem_posterior;occipital;n_tr_pariental;parietal_e;pariental_d;pterion;n_tr_lateral;n_antimortem_lateral;n_tr_perimortem_lateral;lateral_e;lateral_d;zigomatico;processo_zigo_d;processo_zigo_e;n_tr_temporal;temporal_e;temporal_d;n_tr_superior;n_antimortem_superior;n_perimortem_superior;n_cabeca_ trofeu;n_cabeca_ trofeu_trauma;n_cabeca_ trofeu_trauma_anti;n_cabeca_ trofeu_trauma_peri;n_postcranio;n_postcranio_afetado;costela;vert_lombares;vert_toráxicas;vert_cervicais;torax;n_membros_superior;glenoid;humero;radio;ulna;acetabulo;escapula;femur;tibia;fibula;frat_depressiva;Frat_Perfurante;frat_cortante;frat_circular;flecha_projetil;arma_lamina;arma_corpo;Outro instrumento;agressão interpessoal;rading_invasao;guerra;canibalismo;ritual;acidental_laboral;n_id_deformacoes;n_patologias;n_cribia_orbitaria;n_hiperostosis_porotica;n_periostiti;infec_osteomielite;n_congenitas;n_exostose_ouvido;n_caries;n_hipoplasia_linear;n_reabsorcao_aveolar;n_poscr_cribia_orbitaria;n_poscr_hiperostosis_porotica;Infec_posCr_periostiti;n_poscr_osteomeliti;n_fusao_vert;n_pt_ambientais;n_osteoporose;n_exostose;n_osteofitose;n_espodilose;n_osteoartrite;padr_funerário;cultura_material;iconografia_v;grafismos_v;ev_fort;estr_sociopolitica;pad_assentamento;bioma;clima;carc_geografica;estrg_subsistencia
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;comum;;-13,1572;-74,1939;2839;;Pré_Wari_Huarpa;PIP;1700;1350;M;adulto;1;1;0;1;1;;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;0;1;;;;;1;0;1;0;0;0;;;;;;;;;;0;0;0;0;0;0;;0;0;0;;0;;;;0;0;0;0;0;0;0;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;;;;;;;0;;urbano;;frio_de_montanha;vale;
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;comum;;-13,1572;-74,1939;2839;;Pré_Wari_Huarpa;PIP;1700;1350;F;idoso;4;2;2;0,5;2;;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;;;;;;;9;;0;0;2;0;0;3;;0;2;1;;0;;;;0;0;0;0;0;0;0;0;0;;0;0;0;1;0;2;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;1;1;;;;;0;;urbano;;frio_de_montanha;vale;
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;comum;;-13,1572;-74,1939;2839;;Pré_Wari_Huarpa;PIP;1700;1350;NID;adulto;6;0;6;0;0;;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;;;;;;;;;0;0;0;0;0;0;;0;0;0;;0;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;;urbano;;frio_de_montanha;vale;
Tung 2014;Peru;Ayacucho;Huari_Cheqo_wasi;elite;guerra;-13,0647;-74,1747;2839;;Wari;HM;1700;1350;M;adulto;10;5;5;0,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Estado;urbano;;;;
Tung 2014;Peru;Ayacucho;Huari_Cheqo_wasi;elite;guerra;-13,0647;-74,1747;2839;;Wari;HM;1700;1350;F;adulto;11;7;4;0,64;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Estado;urbano;;;;
Tung 2014;Peru;Ayacucho;Huari_Cheqo_wasi;elite;guerra;-13,0647;-74,1747;2839;;Wari;HM;1700;1350;NID;adulto;3;0;3;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Estado;urbano;;;;
Tung 2007, Tung 2012, Tung 2008;Peru;Ayacucho;Conchopata;comum;guerra;-13,1572;-74,1939;2839;;Wari;HM;1300;1150;M;adulto;14;4;10;0,29;4;;0;;;2;;;;;;;;;;;;;;;;0;;;0;0;;;;;;;0;;;17;8;7;1;0;;0;0;0;0;0;0;;0;0;0;;0;;;;0;0;0;0;0;0;0;1;1;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;Estado;urbano;;frio_de_montanha;vale;
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;comum;guerra;-13,1572;-74,1939;2839;;Wari;HM;1300;1150;F;adulto;25;6;19;0,24;6;;0;;;0;;;;;;;;7;;;;;;;;0;;;0;0;;;;;;;2;;;;;;;0;;0;0;0;0;0;0;;0;0;0;;0;;;;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;Estado;urbano;;frio_de_montanha;vale;
Tung 2007 e Tung 2012;Peru;Ayacucho;Conchopata;comum;guerra;-13,1572;-74,1939;2839;;Wari;HM;1300;1150;NID;adulto;5;0;5;0;0;;0;;;0;;;0;0;0;0;0;0;;;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;;;;;;;3885;62;10;9;8;6;0;0;0;4;3;3;1;0;2;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;Estado;urbano;;frio_de_montanha;vale;
Tung 2007 e Tung 2012;Peru;Vale de Majes;Beringa;comum;invasao_v;-16,1447;-72,4628;477;;Wari;HM;1300;1150;NID;adulto;16;4;12;0,25;;;;;;;;;;;;;;0;;;;;;;;;;;0;2;;;;;;;0;;;;;;;5831;97;21;9;8;6;0;16;0;2;7;7;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;;;;;;;;;;;;;;;;;;;;;;;;;0;Estado;vila;;frio_de_montanha;vale;
Tung 2007 e Tung 2012;Peru;Vale de Majes;Beringa;comum;invasao_v;-16,1447;-72,4628;477;;Wari;HM;1300;1150;M;adulto;10;5;5;0,5;;;;;;4;;;;;;;;4;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vila;;;;
Tung 2007 e Tung 2012;Peru;Vale de Majes;Beringa;comum;invasao_v;-16,1447;-72,4628;477;;Wari;HM;1300;1150;F;adulto;13;4;9;0,31;;;;;;1;;;;;;;;3;;;;;;;;2;;;0;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;vila;;;;
